ACCX,GYRX,ACCY,GYRY,ACCZ,GYRZ
16736,65157,65476,150,63284,41
16728,65163,65456,120,63280,13
16604,65149,65520,154,63412,31
16716,65186,65520,147,63256,21
16692,65172,28,135,63272,18
16636,65177,4,152,63192,44
16680,65163,76,133,63240,42
16508,65168,16,114,63168,11
16568,65168,65528,125,63276,14
16788,65146,65412,156,63308,18
16616,65154,65456,150,63188,6
16664,65188,24,144,63300,35
16676,65177,65436,108,63288,42
16692,65168,65480,169,63224,32
16712,65185,65528,157,63216,30
16660,65185,65528,149,63300,42
16568,65187,65512,142,63288,34
16772,65169,65460,142,63328,27
16688,65157,65508,111,63240,31
16708,65160,65492,139,63252,17
16604,65187,65460,148,63328,49
16612,65179,65512,117,63068,32
16672,65154,40,156,63240,21
16640,65175,65488,150,63280,50
16676,65187,65292,156,63276,38
16736,65171,65432,149,63336,30
16736,65171,156,132,63080,55
16680,65175,65476,160,63168,39
16672,65153,56,115,63324,49
16692,65148,65484,137,63392,64
16472,65152,16,147,63304,62
16448,65176,65512,135,63464,66
16596,65162,65492,128,63256,45
16736,65180,20,167,63144,33
16660,65211,65400,175,63252,67
16628,65157,65504,146,63140,35
16716,65184,65520,145,63156,36
16624,65151,65516,158,63272,48
16712,65174,65508,130,63384,34
16664,65161,65492,154,63412,10
16716,65169,65392,151,63252,28
16668,65162,65500,136,63260,32
16712,65164,52,132,63136,40
16648,65162,65524,184,63240,29
16748,65151,65484,157,62992,15
16632,65169,80,134,63284,44
16680,65170,65448,149,63276,37
16644,65169,60,140,63240,40
16612,65178,12,125,63180,40
16716,65164,204,148,63216,42
16716,65156,44,166,63064,28
16744,65168,216,145,63196,17
16632,65156,8,161,63380,12
16736,65178,4,116,63364,22
16648,65166,65508,141,63232,38
16476,65152,88,139,63176,15
16400,65169,65504,141,63136,44
16688,65165,65448,126,63332,41
16656,65170,65516,139,63088,34
16732,65175,65484,135,63316,43
16700,65157,65484,152,63260,35
16748,65165,65480,164,63172,34
16680,65169,65448,158,63132,48
16676,65153,65532,125,63236,41
16600,65170,16,131,63156,52
16624,65160,65436,162,63232,66
16712,65167,65424,151,63368,56
16616,65162,65456,160,63288,50
16688,65177,65496,150,63228,52
16680,65174,92,158,63336,67
16792,65163,65508,153,63272,39
16772,65160,65460,143,63228,40
16712,65173,32,135,63344,48
16676,65182,40,169,63288,22
16836,65197,65412,134,63400,43
16644,65168,65412,169,63112,62
16712,65167,60,155,63240,27
16716,65161,65496,144,63308,26
16656,65153,65436,142,63196,16
16704,65160,20,149,63288,46
16628,65172,65480,123,63336,56
16732,65183,65460,144,63116,39
16812,65173,65440,103,63224,60
16632,65167,65420,168,63316,40
16648,65154,65524,151,63188,29
16688,65151,65448,143,63288,42
16616,65172,52,135,63284,54
16776,65156,65448,131,63316,77
16712,65158,65424,113,63176,74
16716,65166,65464,172,63420,49
16636,65172,65460,136,63260,37
16720,65160,65380,149,63284,64
16676,65158,65492,124,63332,45
16800,65183,65420,127,63296,24
16608,65157,65520,175,63212,39
16664,65192,96,167,63224,61
16692,65154,65504,142,63252,57
16716,65171,65416,138,62992,59
16632,65167,65480,115,63288,43
16692,65183,65468,157,62980,49
16660,65170,65460,139,63248,39
16616,65164,52,109,63136,21
16716,65156,65488,136,63272,29
16744,65172,65512,140,63152,38
16628,65168,65440,147,63360,18
16736,65174,65456,130,63244,35
16732,65158,65508,160,63180,49
16640,65168,65480,135,63120,29
16740,65177,65516,155,63128,28
16764,65147,65472,146,63204,16
16616,65152,65488,131,63244,24
16660,65145,65480,155,63256,48
16744,65196,65508,130,63400,54
16728,65182,4,166,63192,12
16716,65178,52,124,63152,58
16652,65167,65472,128,63008,40
16768,65159,65424,149,63312,41
16648,65171,40,154,63256,31
16648,65138,16,138,63260,29
16704,65163,32,146,63248,36
16732,65164,65456,139,63276,43
16708,65173,100,126,63164,33
16704,65177,16,120,63232,52
16704,65171,65508,158,63156,42
16792,65140,0,112,63408,40
16772,65169,28,154,63312,34
16744,65180,65392,132,63208,41
16688,65167,40,153,63216,57
16776,65156,65452,150,63164,35
16668,65175,65468,143,63220,43
16840,65167,65500,161,63256,30
16744,65166,24,170,63232,21
16704,65150,65528,138,63352,33
16692,65155,65532,159,63252,25
16608,65158,65520,137,63276,30
